,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Name no hang,0.45,0.61,0.65,0.715,0.4,0.42,0.5,0.6,0.3,0.375,0.465,0.5,0.275,0.375,0.4,0.45,0.25,0.3,0.325,0.35,0.2,0.2,0.225,0.28
Name hang,0.2975,0.255,0.2975,0.45,0.2125,0.2125,0.255,0.4,0.19125,0.255,0.255,0.2975,0.14875,0.1275,0.2125,0.255,0.1275,0.1275,0.17,0.2125,0.102,0.102,0.1275,0.17
Line no hang,0.2,0.215,0.3,0.5,0.15,0.2,0.25,0.45,0.13,0.15,0.2,0.32,0.1,0.115,0.16,0.3,0.08,0.1,0.125,0.25,0.06,0.08,0.1,0.18
Line hang,0.14875,0.14875,0.17,0.45,0.1275,0.1275,0.14875,0.4,0.10625,0.085,0.085,0.14875,0.085,0.07225,0.085,0.17,0.06375,0.07225,0.10625,0.17,0.051,0.051,0.085,0.1275
